yymm,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,Target
0301 01:40,-4.767,16.25,-2.89,-7.098,-1.196,14.154,-10.659,-3.04,-4.23,7.577,-3.802,-1.341,-0.267,-9.642,-0.802,-4.013,1.669,-0.363,0.468,-6.561,-47.695,-11.134,-2.852,-1.551,-2.573,-0.029,34.986
0301 01:50,-4.864,16.25,-2.83,-7.098,-1.196,14.548,-10.659,-3.04,-4.103,7.527,-3.802,-1.304,-0.267,-9.782,-0.802,-3.983,-0.831,-0.397,0.405,-6.711,-77.695,-11.201,-2.852,-1.581,-2.346,-0.066,14.267
0301 02:00,-4.937,16.25,-2.83,-6.998,-1.196,15.148,-10.689,-3.04,-3.97,7.477,-3.802,-1.378,-0.267,-9.912,-0.892,-4.043,-3.331,-0.397,0.278,-6.861,-77.695,-11.201,-2.822,-1.641,-2.346,-0.139,36.7
0301 02:10,-4.937,16.25,-2.92,-6.998,-1.196,15.354,-10.749,-2.873,-4,7.477,-3.802,-1.411,-0.267,-9.942,-0.832,-4.153,-2.998,-0.487,0.211,-6.891,-67.695,-11.171,-2.689,-1.641,-2.109,-0.139,14.507
0301 02:20,-4.937,16.25,-2.92,-6.998,-1.196,15.214,-10.749,-2.706,-4.06,7.477,-3.802,-1.411,-0.377,-9.982,-0.892,-4.079,-2.664,-0.487,0.145,-6.931,-57.695,-11.171,-2.552,-1.641,-1.969,-0.206,0.072
0301 02:30,-4.937,16.25,-3.22,-6.925,-1.196,15.151,-10.749,-2.54,-4.17,7.477,-3.802,-1.444,-0.377,-10.012,-0.892,-3.976,-2.331,-0.52,0.001,-6.961,-47.695,-11.311,-2.619,-1.741,-1.709,-0.239,5.954
0301 02:40,-4.937,16.25,-3.294,-6.888,-1.196,15.358,-10.749,-2.373,-4.17,7.477,-3.802,-1.378,-0.377,-10.042,-0.892,-3.843,-1.998,-0.587,-0.065,-6.991,-47.695,-11.378,-2.652,-1.741,-1.376,-0.239,48.521
0301 02:50,-4.937,16.25,-3.36,-6.863,-1.196,15.548,-10.749,-2.206,-4.17,7.477,-3.802,-1.378,-0.377,-10.082,-0.892,-3.809,-1.664,-0.587,-0.189,-7.031,-47.695,-11.344,-2.726,-1.841,-1.169,-0.329,12.699
0301 03:00,-4.937,16.25,-3.42,-6.722,-1.196,15.421,-10.849,-2.04,-4.296,7.477,-3.802,-1.378,-0.377,-10.112,-0.942,-3.743,-1.331,-0.653,-0.255,-7.061,-37.695,-11.411,-2.726,-1.841,-0.969,-0.269,33.86
0301 03:10,-5.027,16.25,-3.52,-6.788,-1.196,16.041,-10.859,-2.04,-4.415,7.394,-3.802,-1.378,-0.477,-10.162,-0.992,-3.743,-2.331,-0.687,-0.355,-7.091,-57.695,-11.411,-2.726,-1.951,-0.836,-0.329,39.933
0301 03:20,-5.027,16.25,-3.52,-6.788,-1.196,15.921,-10.859,-2.04,-4.47,7.311,-3.802,-1.304,-0.477,-10.212,-0.992,-3.743,-3.331,-0.723,-0.429,-7.131,-57.695,-11.501,-2.726,-1.951,-0.773,-0.362,32.613
0301 03:30,-5.027,16.25,-3.52,-6.788,-1.196,16.314,-10.859,-2.04,-4.47,7.227,-3.802,-1.268,-0.477,-10.262,-0.992,-3.653,-4.331,-0.797,-0.465,-7.161,-47.695,-11.374,-2.726,-1.985,-0.906,-0.429,2.981
0301 03:40,-5.027,16.25,-3.454,-6.722,-1.196,16.584,-10.859,-2.04,-4.5,7.144,-3.802,-1.268,-0.477,-10.312,-0.992,-3.579,-5.331,-0.83,-0.532,-7.191,-57.695,-11.311,-2.822,-2.051,-1.073,-0.429,5.878
0301 03:50,-5.06,16.25,-3.42,-6.688,-1.196,16.858,-10.859,-2.04,-4.56,7.061,-3.802,-1.268,-0.507,-10.362,-1.025,-3.543,-6.331,-0.897,-0.595,-7.231,-57.695,-11.311,-2.822,-2.051,-1.206,-0.429,33.562
0301 04:00,-5.127,16.25,-3.36,-6.688,-1.196,16.981,-10.859,-2.04,-4.56,6.977,-3.802,-1.268,-0.567,-10.412,-1.025,-3.543,-7.331,-0.897,-0.655,-7.261,-37.695,-11.311,-2.822,-2.051,-1.273,-0.429,33.58
0301 04:10,-5.127,16.416,-3.33,-6.688,-1.196,17.048,-10.859,-2.04,-4.56,6.927,-3.802,-1.268,-0.567,-10.412,-1.092,-3.498,-6.998,-0.897,-0.655,-7.241,-67.695,-11.311,-2.822,-2.141,-1.346,-0.496,12.714
0301 04:20,-5.127,16.583,-3.257,-6.628,-1.196,17.524,-10.859,-2.04,-4.56,6.877,-3.802,-1.268,-0.567,-10.412,-1.092,-3.543,-6.664,-0.987,-0.755,-7.231,-67.695,-11.274,-2.852,-2.141,-1.503,-0.462,11.272
0301 04:30,-5.2,16.75,-3.175,-6.598,-1.196,17.791,-10.859,-2.04,-4.56,6.827,-3.802,-1.268,-0.567,-10.412,-1.092,-3.543,-6.331,-0.987,-0.822,-7.211,-77.695,-11.201,-2.792,-2.241,-1.503,-0.529,43.057
0301 04:40,-5.237,16.916,-3.13,-6.598,-1.196,17.748,-10.859,-2.04,-4.596,6.777,-3.802,-1.268,-0.567,-10.412,-1.092,-3.453,-5.998,-1.02,-0.855,-7.191,-67.695,-11.171,-2.652,-2.241,-1.603,-0.566,29.178
0301 04:50,-5.237,17.083,-3.19,-6.658,-1.256,18.488,-10.919,-2.04,-4.67,6.727,-3.802,-1.268,-0.667,-10.412,-1.165,-3.379,-5.664,-1.087,-0.929,-7.181,-47.695,-10.978,-2.726,-2.308,-1.736,-0.639,29.706
0301 05:00,-5.237,17.25,-3.13,-6.598,-1.196,19.321,-10.919,-2.04,-4.7,6.677,-3.802,-1.378,-0.667,-10.412,-1.165,-3.309,-5.331,-1.087,-0.965,-7.161,-57.695,-10.634,-2.707,-2.341,-1.809,-0.602,22.281
0301 05:10,-5.297,17.416,-3.13,-6.598,-1.196,19.848,-10.949,-2.04,-4.76,6.611,-3.802,-1.378,-0.667,-10.132,-1.202,-3.309,-5.331,-1.153,-1.032,-6.861,-57.695,-10.374,-2.652,-2.341,-1.869,-0.602,29.404
0301 05:20,-5.327,17.583,-2.987,-6.598,-1.196,20.424,-10.949,-2.04,-4.67,6.544,-3.802,-1.378,-0.667,-9.842,-1.202,-3.243,-5.331,-1.187,-1.065,-6.561,-47.695,-10.074,-2.652,-2.451,-1.969,-0.639,25.264
0301 05:30,-5.327,17.75,-2.92,-6.498,-1.196,20.824,-10.949,-2.04,-4.73,6.477,-3.802,-1.378,-0.667,-9.562,-1.202,-3.243,-5.331,-1.26,-1.065,-6.261,-47.695,-9.874,-2.652,-2.451,-2.036,-0.639,31.907
0301 05:40,-5.237,17.916,-2.89,-6.425,-1.196,21.136,-10.949,-2.04,-4.76,6.411,-3.802,-1.378,-0.734,-9.282,-1.202,-3.243,-5.331,-1.297,-1.155,-5.961,-47.695,-9.656,-2.652,-2.451,-2.073,-0.739,37.589
0301 05:50,-5.237,18.083,-2.89,-6.388,-1.196,21.651,-10.859,-2.04,-4.76,6.344,-3.802,-1.304,-0.767,-8.992,-1.269,-3.243,-5.331,-1.297,-1.155,-5.661,-57.695,-9.478,-2.619,-2.518,-2.146,-0.739,7.075
0301 06:00,-5.237,18.25,-2.89,-6.363,-1.196,21.918,-10.859,-2.04,-4.76,6.277,-3.802,-1.268,-0.767,-8.712,-1.269,-3.243,-5.331,-1.397,-1.155,-5.361,-57.695,-9.411,-2.552,-2.551,-2.146,-0.739,23.889
0301 06:10,-5.237,18.25,-2.83,-6.288,-1.196,22.184,-10.859,-2.04,-4.7,6.227,-3.802,-1.268,-0.767,-8.592,-1.252,-3.243,-5.831,-1.397,-1.222,-5.241,-47.695,-9.268,-2.552,-2.551,-2.146,-0.799,38.421
0301 06:20,-5.237,18.25,-2.794,-6.288,-1.256,22.451,-10.859,-2.04,-4.67,6.177,-3.802,-1.304,-0.767,-8.482,-1.302,-3.213,-6.331,-1.397,-1.255,-5.131,-47.695,-9.201,-2.619,-2.641,-2.146,-0.829,15.443
0301 06:30,-5.237,18.25,-2.72,-6.288,-1.196,22.514,-10.786,-2.04,-4.73,6.127,-3.802,-1.378,-0.84,-8.362,-1.302,-3.153,-6.831,-1.457,-1.255,-5.011,-57.695,-9.111,-2.552,-2.641,-2.091,-0.829,37.719
0301 06:40,-5.237,18.25,-2.63,-6.222,-1.256,22.788,-10.749,-2.04,-4.73,6.077,-3.802,-1.304,-0.804,-8.245,-1.302,-3.153,-7.331,-1.457,-1.289,-4.891,-67.695,-9.044,-2.619,-2.641,-2.146,-0.829,10.207
0301 06:50,-5.237,18.25,-2.557,-6.222,-1.286,23.118,-10.749,-2.04,-4.76,6.027,-3.802,-1.378,-0.877,-8.129,-1.302,-3.153,-7.831,-1.487,-1.355,-4.781,-67.695,-8.978,-2.552,-2.641,-2.036,-0.896,0.242
0301 07:00,-5.2,18.25,-2.52,-6.188,-1.286,23.324,-10.719,-2.04,-4.76,5.977,-3.802,-1.378,-0.877,-8.012,-1.362,-3.153,-8.331,-1.487,-1.355,-4.661,-57.695,-8.844,-2.552,-2.641,-2.036,-0.896,19.299
0301 07:10,-5.2,18.083,-2.52,-6.188,-1.286,23.454,-10.519,-1.873,-4.73,5.911,6.198,-1.378,-0.877,-7.962,-1.302,-3.079,-7.831,-1.487,-1.429,-4.628,-67.695,-8.778,-2.322,-2.708,-1.936,-0.929,48.043
0301 07:20,-5.237,17.916,-2.557,-6.532,-1.286,23.654,-10.059,-1.706,-4.67,5.844,16.198,-1.428,-0.91,-7.912,-1.392,-3.098,-7.331,-1.553,-1.465,-4.594,-27.695,-8.644,-2.262,-2.741,-2.136,-0.929,15.558
0301 07:30,-4.8,17.75,-2.764,-6.658,-1.286,23.991,-9.726,-1.54,-4.633,5.777,26.198,-1.568,-0.977,-7.862,-1.392,-3.243,-6.831,-1.587,-1.289,-4.561,-27.695,-8.578,-2.389,-2.741,-2.703,-0.962,43.064
0301 07:40,-4.527,17.583,-2.875,-6.925,-1.286,24.258,-9.419,-1.373,-4.56,5.711,16.198,-1.568,-1.067,-7.812,-1.492,-3.309,-6.331,-1.587,-1.029,-4.528,-47.695,-8.444,-2.522,-2.641,-3.243,-1.029,41.762
0301 07:50,-4.967,17.416,-3.057,-7.065,-1.286,24.524,-9.486,-1.206,-4.7,5.644,6.198,-1.568,-1.067,-7.762,-1.492,-3.379,-5.831,-1.587,-0.855,-4.494,-37.695,-8.278,-2.889,-2.641,-3.713,-1.066,41.107
0301 08:00,-5.027,17.25,-3.13,-7.098,-1.286,24.791,-9.883,-1.04,-4.7,5.577,-3.802,-1.634,-1.167,-7.712,-1.492,-3.513,-5.331,-1.587,-0.789,-4.461,-7.695,-8.144,-2.962,-2.641,-3.973,-1.139,26.951
0301 08:10,-5.394,16.583,-3.02,-7.098,-1.286,25.118,-9.489,-1.04,-4.5,5.511,-3.802,-1.634,-1.167,-7.562,-1.492,-3.543,-3.831,-1.62,-0.855,-4.411,-27.695,-7.978,-3.057,-2.641,-4.303,-1.139,34.848
0301 08:20,-5.594,15.916,-2.954,-7.188,-1.319,25.363,-9.089,-1.04,-4.56,5.444,-3.802,-1.634,-1.167,-7.412,-1.592,-3.616,-2.331,-1.687,-0.929,-4.361,-27.695,-7.811,-3.389,-2.641,-4.576,-1.206,15.477
0301 08:30,-5.767,15.25,-2.954,-7.255,-1.319,25.621,-8.816,-1.04,-4.633,5.377,-3.802,-1.668,-1.234,-7.262,-1.592,-3.743,-0.831,-1.687,-0.965,-4.311,-47.695,-7.644,-3.589,-2.641,-4.773,-1.239,5.293
0301 08:40,-5.9,14.583,-3.02,-7.255,-1.386,25.724,-8.589,-1.04,-4.56,5.311,-3.802,-1.734,-1.267,-7.112,-1.702,-3.809,0.669,-1.687,-1.032,-4.261,-37.695,-7.511,-3.792,-2.641,-4.973,-1.299,33.197
0301 08:50,-6.027,13.916,-3.02,-7.188,-1.386,25.791,-8.389,-1.04,-4.53,5.244,-3.802,-1.768,-1.267,-6.962,-1.702,-3.843,2.169,-1.687,-1.095,-4.211,42.305,-7.378,-3.986,-2.641,-5.146,-1.329,33.262
0301 09:00,-5.967,13.25,-3.094,-7.188,-1.352,25.954,-8.293,-1.04,-4.47,5.177,6.198,-1.768,-1.267,-6.812,-1.702,-3.843,3.669,-1.687,-1.155,-4.161,72.305,-7.044,-3.986,-2.641,-5.279,-1.329,15.09
0301 09:10,-6.027,12.25,-3.257,-7.166,-1.286,26.221,-8.219,-0.54,-4.56,5.061,-3.802,-1.768,-1.267,-6.612,-1.769,-3.983,6.836,-1.687,-1.189,-4.128,-47.695,-6.778,-3.592,-2.641,-5.469,-1.429,18.953
0301 09:20,-6.027,11.25,-3.257,-7.098,-1.286,26.421,-8.159,-0.04,-4.633,4.944,-3.802,-1.768,-1.267,-6.412,-1.802,-4.116,10.002,-1.687,-1.255,-4.094,-67.695,-6.451,-2.859,-2.641,-5.536,-1.429,48.626
0301 09:30,-6.027,10.25,-3.22,-6.998,-1.286,26.421,-8.049,0.46,-4.615,4.827,-3.802,-1.804,-1.377,-6.212,-1.802,-4.216,13.169,-1.687,-1.289,-4.061,-47.695,-6.244,-2.586,-2.611,-5.573,-1.429,4.71
0301 09:40,-6.027,9.25,-3.22,-6.998,-1.286,26.358,-7.983,0.96,-4.56,4.711,-3.802,-1.878,-1.377,-6.012,-1.802,-4.276,16.336,-1.797,-1.355,-4.028,-47.695,-5.881,-2.322,-2.551,-5.646,-1.496,5.331
0301 09:50,-5.937,8.25,-3.16,-6.998,-1.286,26.151,-7.949,1.46,-4.56,4.594,-3.802,-1.878,-1.377,-5.812,-1.802,-4.313,19.502,-1.723,-1.355,-3.994,-47.695,-5.688,-2.262,-2.551,-5.736,-1.529,6.687
0301 10:00,-5.997,7.25,-3.22,-6.998,-1.286,25.981,-7.889,1.96,-4.47,4.477,-3.802,-1.944,-1.377,-5.612,-1.802,-4.453,22.669,-1.797,-1.355,-3.961,-47.695,-5.254,-2.292,-2.485,-5.773,-1.529,21.813
0301 10:10,-5.997,6.25,-3.454,-6.962,-1.286,25.648,-7.859,1.96,-4.53,4.327,-3.802,-1.978,-1.377,-5.378,-1.892,-4.543,23.336,-1.797,-1.429,-3.894,-57.695,-4.921,-2.552,-2.341,-5.906,-1.602,6.479
0301 10:20,-6.004,5.25,-3.52,-6.888,-1.286,23.788,-7.859,1.96,-4.5,4.177,6.198,-1.978,-1.377,-5.145,-1.892,-4.475,24.002,-1.797,-1.438,-3.827,-47.695,-4.611,-2.829,-2.275,-5.936,-1.639,42.326
0301 10:30,-6.027,4.25,-3.587,-6.888,-1.286,21.314,-7.919,1.96,-4.426,4.027,-3.802,-1.978,-1.377,-4.912,-1.892,-4.379,24.669,-1.797,-1.465,-3.761,-47.695,-4.278,-2.962,-2.208,-6.003,-1.639,2.546
0301 10:40,-6.027,3.25,-3.72,-6.888,-1.286,17.648,-7.859,1.96,-0.733,3.877,-3.802,-1.978,-1.377,-4.678,-1.892,-4.309,25.336,-1.687,-1.465,-3.694,-47.695,-3.811,-3.086,-2.141,-6.036,-1.672,13.171
0301 10:50,-6.027,2.25,-3.575,-6.888,-1.286,14.188,-7.859,1.96,-1.733,3.727,6.198,-1.978,-1.377,-4.445,-1.892,-4.243,26.002,-1.687,-1.465,-3.627,-37.695,-3.544,-3.286,-2.096,-6.109,-1.739,48.849
0301 11:00,-6.027,1.25,-3.66,-6.888,-1.352,10.591,-7.859,1.96,-2.426,3.577,-3.802,-1.978,-1.377,-4.212,-1.892,-4.153,26.669,-1.687,-1.532,-3.561,2.305,-3.366,-3.526,-2.051,-6.176,-1.739,20.97
0301 11:10,-6.027,1.25,-3.794,-6.888,-1.352,8.624,-7.859,2.294,-2.5,3.411,6.198,-1.978,-1.477,-4.128,-1.892,-4.153,19.169,-1.687,-1.532,-3.477,-27.695,-3.321,-3.786,-2.051,-6.236,-1.739,37.58
0301 11:20,-6.027,1.25,-3.86,-6.888,-1.286,7.624,-7.786,2.627,-2.7,3.244,6.198,-2.008,-1.477,-4.045,-1.892,-4.476,11.669,-1.687,-1.565,-3.394,272.305,-3.321,-4.007,-2.051,-6.273,-1.769,32.978
0301 11:30,-6.027,1.25,-3.987,-6.888,-1.386,7.948,-7.949,2.96,-2.9,3.077,6.198,-2.134,-1.477,-3.962,-1.992,-4.349,4.169,-1.76,-1.565,-3.311,-47.695,-3.118,-4.152,-2.051,-6.273,-1.769,3.726
0301 11:40,-6.027,1.25,-4.02,-6.888,-1.386,8.281,-7.949,3.294,-2.796,2.911,-3.802,-1.944,-1.477,-3.878,-1.992,-3.586,-3.331,-1.76,-1.565,-3.227,-77.695,-2.911,-4.226,-2.018,-6.376,-1.829,7.758
0301 11:50,-5.894,1.25,-4.02,-6.755,-1.386,9.021,-7.949,3.627,-2.596,2.744,-3.802,-1.878,-1.477,-3.795,-1.992,-3.586,-10.831,-1.76,-1.565,-3.144,-47.695,-2.911,-4.389,-1.951,-6.436,-1.829,42.037
0301 12:00,-5.767,1.25,-4.02,-6.688,-1.386,9.881,-7.949,3.96,-2.76,2.577,-3.802,-1.878,-1.477,-3.712,-1.992,-3.453,-18.331,-1.797,-1.595,-3.061,22.305,-2.911,-4.462,-1.951,-6.346,-1.896,42.047
0301 12:10,-5.767,2.416,-4.094,-6.598,-1.386,10.154,-7.983,4.127,-2.9,2.461,6.198,-1.878,-1.477,-3.745,-1.992,-3.379,-14.331,-1.797,-1.655,-2.911,2.305,-3.044,-4.552,-1.951,-6.346,-1.896,37.757
0301 12:20,-5.594,3.583,-3.82,-6.523,-1.386,10.554,-7.983,4.294,-1.23,2.344,-3.802,-1.878,-1.522,-3.778,-1.992,-3.379,-10.331,-1.687,-1.655,-2.761,-27.695,-3.184,-4.619,-1.951,-6.236,-1.929,2.565
0301 12:30,-5.467,4.75,-3.287,-6.425,-1.386,11.881,-7.859,4.46,-2.303,2.227,-3.802,-1.878,-1.537,-3.812,-1.992,-3.453,-6.331,-1.687,-1.655,-2.611,-47.695,-3.288,-4.689,-1.951,-6.236,-1.929,9.534
0301 12:40,-5.297,5.916,-3.16,-6.255,-1.386,12.548,-7.749,4.627,-2.77,2.111,-3.802,-1.878,-1.567,-3.845,-1.992,-3.453,-2.331,-1.687,-1.655,-2.461,-37.695,-3.221,-4.762,-1.951,-6.236,-1.962,20.371
0301 12:50,-5.164,7.083,-3.294,-6.188,-1.386,13.348,-7.749,4.794,-3.065,1.994,-3.802,-1.878,-1.567,-3.878,-1.992,-3.453,1.669,-1.687,-1.655,-2.311,-37.695,-3.284,-4.792,-1.951,-6.309,-2.029,13.316
0301 13:00,-5.027,8.25,-3.36,-6.065,-1.452,15.014,-7.749,4.96,-3.17,1.877,-3.802,-1.878,-1.567,-3.912,-1.992,-3.453,5.669,-1.687,-1.655,-2.161,-37.695,-3.411,-4.926,-1.951,-6.309,-2.029,2.448
0301 13:10,-4.967,9.25,-3.36,-5.998,-1.486,17.224,-7.749,4.794,-3.293,1.661,-3.802,-1.878,-1.567,-3.895,-1.992,-3.453,5.169,-1.687,-1.655,-1.977,-37.695,-3.511,-4.962,-1.878,-6.214,-2.057,16.151
0301 13:20,-4.797,10.25,-3.33,-5.962,-1.486,18.558,-7.749,4.627,-3.433,1.444,-3.802,-1.911,-1.567,-3.878,-2.025,-3.453,4.669,-1.687,-1.689,-1.794,-27.695,-3.578,-4.962,-1.841,-6.146,-2.066,10.114
0301 13:30,-4.684,11.25,-3.33,-5.822,-1.486,20.751,-7.749,4.46,-3.43,1.227,-3.802,-1.978,-1.567,-3.862,-2.092,-3.453,4.169,-1.687,-1.755,-1.611,32.305,-3.648,-4.962,-1.841,-6.036,-2.066,46.64
0301 13:40,-4.527,12.25,-3.36,-5.688,-1.486,21.958,-7.749,4.294,-3.23,1.011,6.198,-1.978,-1.567,-3.845,-2.092,-3.453,3.669,-1.687,-1.755,-1.427,332.305,-3.721,-5.022,-1.878,-6.036,-2.139,49.476
0301 13:50,-4.4,13.25,-3.42,-5.628,-1.486,23.936,-7.749,4.127,-1.193,0.794,-3.802,-1.978,-1.567,-3.828,-2.092,-3.453,3.169,-1.653,-1.755,-1.244,62.305,-3.821,-5.052,-1.951,-5.936,-2.139,30.048
0301 14:00,-4.194,14.25,-2.925,-5.462,-1.486,25.924,-7.623,3.96,0.474,0.577,-3.802,-1.911,-1.567,-3.812,-2.092,-3.453,2.669,-1.587,-1.755,-1.061,-17.695,-3.721,-5.052,-1.951,-5.936,-2.139,19.803
0301 14:10,-3.96,13.75,-2.154,-5.388,-1.486,26.524,-7.423,4.127,-0.693,0.411,-3.802,-1.878,-1.634,-3.662,-2.092,-3.309,6.669,-1.587,-1.822,-0.994,-77.695,-3.721,-5.052,-1.841,-5.906,-2.206,12.692
0301 14:20,-3.767,13.25,-2.02,-5.255,-1.486,27.184,-7.219,4.294,-0.966,0.244,-3.802,-1.878,-1.667,-3.512,-2.092,-3.243,10.669,-1.587,-1.755,-0.927,-77.695,-3.611,-5.052,-1.841,-5.846,-2.206,48.855
0301 14:30,-3.564,12.75,-2.057,-5.128,-1.486,27.518,-7.086,4.46,-1.66,0.077,-3.802,-1.911,-1.667,-3.362,-2.092,-3.153,14.669,-1.487,-1.755,-0.861,-57.695,-3.544,-4.962,-1.808,-5.736,-2.239,46.915
0301 14:40,-3.437,12.25,-2.19,-4.962,-1.486,27.618,-7.016,4.627,-1.993,-0.089,-3.802,-1.978,-1.667,-3.212,-2.092,-3.153,18.669,-1.487,-1.755,-0.794,-37.695,-3.478,-4.962,-1.741,-5.736,-2.239,20.203
0301 14:50,-3.37,11.75,-2.19,-4.888,-1.559,27.691,-6.949,4.794,-2.33,-0.256,-3.802,-1.978,-1.667,-3.062,-2.092,-3.153,22.669,-1.427,-1.822,-0.727,-47.695,-3.411,-4.962,-1.708,-5.646,-2.239,48.005
0301 15:00,-3.297,11.25,-2.19,-4.755,-1.596,27.581,-6.949,4.96,-2.53,-0.423,-3.802,-1.911,-1.667,-2.912,-2.092,-3.153,26.669,-1.427,-1.822,-0.661,-37.695,-3.381,-4.852,-1.641,-5.573,-2.239,14.477
0301 15:10,-3.094,12.25,-2.22,-4.628,-1.596,27.581,-6.949,4.96,-2.76,-0.556,-3.802,-1.878,-1.667,-2.928,-2.092,-3.153,19.002,-1.363,-1.755,-0.511,-57.695,-3.254,-4.852,-1.611,-5.536,-2.269,14.362
0301 15:20,-3.094,13.25,-2.294,-4.565,-1.596,27.514,-6.949,4.96,-2.76,-0.689,-3.802,-1.878,-1.667,-2.945,-2.092,-3.213,11.336,-1.363,-1.822,-0.361,-57.695,-3.221,-4.852,-1.551,-5.469,-2.329,14.912
0301 15:30,-3.027,14.25,-2.36,-4.471,-1.596,27.721,-6.882,4.96,-2.896,-0.823,-3.802,-1.804,-1.667,-2.962,-2.092,-3.183,3.669,-1.297,-1.855,-0.211,-47.695,-3.221,-4.792,-1.451,-5.436,-2.329,13.202
0301 15:40,-2.967,15.25,-2.487,-4.322,-1.596,28.321,-6.859,4.96,-2.97,-0.956,-3.802,-1.804,-1.667,-2.978,-2.092,-3.183,-3.998,-1.223,-1.855,-0.061,-57.695,-3.321,-4.762,-1.451,-5.376,-2.329,37.976
0301 15:50,-2.797,16.25,-2.52,-4.188,-1.596,28.914,-6.859,4.96,-3.096,-1.089,6.198,-1.768,-1.7,-2.995,-2.092,-3.183,-11.664,-1.187,-1.855,0.089,-47.695,-3.254,-4.689,-1.415,-5.309,-2.329,4.851
0301 16:00,-2.664,17.25,-2.594,-4.062,-1.596,29.388,-6.859,4.96,-3.192,-1.223,-3.802,-1.768,-1.767,-3.012,-2.092,-3.243,-19.331,-1.162,-1.855,0.239,-47.695,-3.221,-4.652,-1.341,-5.236,-2.329,8.695
0301 16:10,-2.594,16.75,-2.66,-3.962,-1.596,29.721,-6.859,4.96,-3.326,-1.339,-3.802,-1.768,-1.667,-2.912,-2.092,-3.243,-11.831,-1.087,-1.855,0.256,-47.695,-3.221,-4.586,-1.341,-5.206,-2.329,24.37
0301 16:20,-2.467,16.25,-2.72,-3.822,-1.596,30.014,-6.859,4.96,-3.36,-1.456,-3.802,-1.768,-1.667,-2.812,-2.092,-3.243,-4.331,-1.053,-1.855,0.273,-47.695,-3.184,-4.552,-1.341,-5.146,-2.396,40.464
0301 16:30,-2.382,15.75,-2.72,-3.658,-1.596,30.213,-6.859,4.96,-3.36,-1.573,-3.802,-1.768,-1.767,-2.712,-2.092,-3.243,3.169,-0.987,-1.855,0.289,-47.695,-3.086,-4.552,-1.308,-5.036,-2.429,14.321
0301 16:40,-2.237,15.25,-2.72,-3.598,-1.596,30.451,-6.859,4.96,-3.47,-1.689,-3.802,-1.693,-1.767,-2.612,-2.092,-3.243,10.669,-0.987,-1.855,0.306,-57.695,-3.011,-4.462,-1.241,-5.003,-2.429,11.416
